image_name,intensity_betti_0,intensity_betti_1,edt_betti_0,edt_betti_1,method_difference_total,better_method,threshold,superlevel
MouseSlice_salt_pepper_0.05_morphological,13,2,1,3,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.08_median_filter,131,91,2,3,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.08_bilateral_filter,1098,307,1,3,0,unknown,0.4823529411764706,False
MouseSlice_salt_pepper_0.08_non_local_means,12,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.08_topological,12,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.08_morphological,12,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.10_median_filter,134,88,2,3,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.10_bilateral_filter,1336,279,2,3,0,unknown,0.4823529411764706,False
MouseSlice_salt_pepper_0.10_non_local_means,15,3,1,3,0,unknown,0.5333333333333333,False
MouseSlice_salt_pepper_0.10_topological,15,3,1,3,0,unknown,0.5333333333333333,False
MouseSlice_salt_pepper_0.10_morphological,15,3,1,3,0,unknown,0.5333333333333333,False
Zebrafish_clean,75,65,9,31,0,unknown,0.5764705882352941,False
Zebrafish_gaussian_0.01,73,64,9,31,0,unknown,0.5803921568627451,False
Zebrafish_gaussian_0.03,74,66,9,31,0,unknown,0.5803921568627451,False
Zebrafish_gaussian_0.05,74,65,9,31,0,unknown,0.5803921568627451,False
Zebrafish_gaussian_0.08,76,66,9,31,0,unknown,0.5803921568627451,False
Zebrafish_gaussian_0.10,75,66,9,31,0,unknown,0.5803921568627451,False
Zebrafish_salt_pepper_0.01,90,70,9,30,0,unknown,0.5764705882352941,False
Zebrafish_salt_pepper_0.03,121,92,9,29,0,unknown,0.5764705882352941,False
Zebrafish_salt_pepper_0.05,138,112,9,30,0,unknown,0.5686274509803921,False
Zebrafish_salt_pepper_0.08,171,156,10,35,0,unknown,0.5607843137254902,False
Zebrafish_salt_pepper_0.10,204,169,10,24,0,unknown,0.5607843137254902,False
Zebrafish_gaussian_0.01_median_filter,28,9,7,45,0,unknown,0.615686274509804,False
Zebrafish_gaussian_0.01_bilateral_filter,22,34,8,29,0,unknown,0.5843137254901961,False
Zebrafish_gaussian_0.01_non_local_means,4,2,1,4,0,unknown,0.5882352941176471,False
Zebrafish_gaussian_0.01_topological,4,2,1,4,0,unknown,0.5882352941176471,False
Zebrafish_gaussian_0.01_morphological,4,2,1,4,0,unknown,0.5882352941176471,False
