image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
F_grid_lattice_salt_pepper_0.10_non_local_means,73,51,50,104
F_grid_lattice_salt_pepper_0.10_topological,73,51,50,104
F_grid_lattice_salt_pepper_0.10_morphological,73,51,50,104
G_maze_loopy_clean,13,30,1,1
G_maze_loopy_gaussian_0.01,13,30,1,1
G_maze_loopy_gaussian_0.03,13,30,1,1
G_maze_loopy_gaussian_0.05,13,30,1,1
G_maze_loopy_gaussian_0.08,13,30,13,1036
G_maze_loopy_gaussian_0.10,13,30,13,1028
G_maze_loopy_salt_pepper_0.01,773,350,1,1
G_maze_loopy_salt_pepper_0.03,2217,1018,1,1
G_maze_loopy_salt_pepper_0.05,3354,1564,1,1
G_maze_loopy_salt_pepper_0.08,4987,2486,1,1
G_maze_loopy_salt_pepper_0.10,5915,2884,1,1
G_maze_loopy_gaussian_0.01_median_filter,13,12,1,1
G_maze_loopy_gaussian_0.01_bilateral_filter,13,30,13,1040
G_maze_loopy_gaussian_0.01_non_local_means,68,72,29,377
G_maze_loopy_gaussian_0.01_topological,68,72,29,377
G_maze_loopy_gaussian_0.01_morphological,68,72,29,377
G_maze_loopy_gaussian_0.03_median_filter,13,12,1,1
G_maze_loopy_gaussian_0.03_bilateral_filter,13,30,13,1040
G_maze_loopy_gaussian_0.03_non_local_means,68,72,29,377
G_maze_loopy_gaussian_0.03_topological,68,72,29,377
G_maze_loopy_gaussian_0.03_morphological,68,72,29,377
G_maze_loopy_gaussian_0.05_median_filter,13,12,1,1
G_maze_loopy_gaussian_0.05_bilateral_filter,13,30,13,1040
G_maze_loopy_gaussian_0.05_non_local_means,68,72,29,378
G_maze_loopy_gaussian_0.05_topological,68,72,29,378
G_maze_loopy_gaussian_0.05_morphological,68,72,29,378
G_maze_loopy_gaussian_0.08_median_filter,13,12,13,1039
G_maze_loopy_gaussian_0.08_bilateral_filter,13,30,13,1040
G_maze_loopy_gaussian_0.08_non_local_means,68,72,29,378
G_maze_loopy_gaussian_0.08_topological,68,72,29,378
G_maze_loopy_gaussian_0.08_morphological,68,72,29,378
G_maze_loopy_gaussian_0.10_median_filter,13,12,13,1037
